,Flat,Semi-Furnished,Unfurnished,Resale,Ready to Move,"Delhi,","Dwarka,","East,","Faridabad,","Ghaziabad,","Gurgaon,","Noida,","North,","Rohini,","South,","West,",Unnamed: 0,price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft,has_landmark
33,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,33,5310000.0,1100.0,28.6467392,77.3709475,3.0,2.0,0.0,0.0,0.0,4827.272727272727,0.0
34,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,34,15000000.0,1960.0,28.3907304,77.05782257,3.0,3.0,0.0,0.0,0.0,7653.061224489796,0.0
35,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,35,17500000.0,2450.0,28.482277,76.99199526,3.0,3.0,3.0,2.0,2.0,7142.857142857143,1.0
36,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,36,5000000.0,1000.0,28.5604873040921,77.384084,2.0,2.0,3.0,1.0,2.0,5000.0,0.0
37,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,37,3500000.0,850.0,28.559850692749023,77.24765014648438,2.0,2.0,1.0,0.0,0.0,4117.64705882353,0.0
38,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,38,4550000.0,950.0,28.50809,77.2314673,3.0,2.0,1.0,1.0,1.0,4789.473684210527,1.0
39,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,39,4000000.0,700.0,28.558586,77.2511855,2.0,2.0,0.0,0.0,0.0,5714.285714285715,0.0
40,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,40,3500000.0,750.0,28.6895694732666,77.33861541748047,2.0,2.0,2.0,0.0,0.0,4666.666666666667,1.0
41,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,41,3500000.0,950.0,28.5905383,77.35981,2.0,2.0,1.0,1.0,1.0,3684.2105263157896,1.0
42,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,42,2400000.0,540.0,28.59227180480957,77.08367919921875,2.0,2.0,1.0,0.0,0.0,4444.444444444444,1.0
43,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,43,80000000.0,5571.0,28.424904,77.03476,5.0,5.0,3.0,4.0,2.0,14360.078980434391,1.0
44,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,44,9500000.0,1200.0,28.652429,77.1643181,2.0,2.0,2.0,0.0,0.0,7916.666666666667,0.0
45,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,45,10500000.0,1020.0,28.3978564,77.07393158,2.0,2.0,2.0,0.0,0.0,10294.117647058823,0.0
46,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,46,7500000.0,1505.0,28.512136,76.986899,2.0,2.0,2.0,1.0,2.0,4983.388704318937,1.0
47,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,47,4800000.0,1232.0,28.652807235717773,77.45092010498047,6.0,3.0,2.0,0.0,0.0,3896.103896103896,0.0
48,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,48,5600000.0,929.0,28.436305,77.13605,2.0,2.0,1.0,0.0,0.0,6027.987082884823,0.0
49,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,49,8500000.0,1350.0,28.647938,77.340697,3.0,3.0,0.0,0.0,0.0,6296.2962962962965,0.0
50,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,50,4700000.0,1085.0,28.646509,77.3814882767311,2.0,2.0,2.0,0.0,0.0,4331.797235023041,1.0
51,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,51,8500000.0,1790.0,28.512136,76.986899,3.0,3.0,0.0,0.0,0.0,4748.603351955308,0.0
52,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,52,10000000.0,1689.0,28.487018,76.998009,3.0,3.0,4.0,1.0,3.0,5920.663114268798,1.0
53,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,53,18000000.0,2411.0,28.391644,77.06486457,3.0,3.0,3.0,2.0,2.0,7465.781833264205,1.0
54,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,54,12400000.0,1650.0,28.6016822982437,77.0319327881991,3.0,2.0,2.0,2.0,0.0,7515.151515151515,1.0
55,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,55,7700000.0,1685.0,28.5092080113141,77.4066255380327,3.0,4.0,4.0,1.0,2.0,4569.73293768546,1.0
56,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,56,6000000.0,1050.0,28.648794,77.3425322478785,2.0,2.0,2.0,0.0,0.0,5714.285714285715,0.0
57,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,57,12500000.0,1300.0,28.59344,77.065951,2.0,2.0,2.0,2.0,2.0,9615.384615384615,1.0
58,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,58,6380000.0,1170.0,28.495893478393555,77.18599700927734,3.0,2.0,1.0,1.0,1.0,5452.991452991453,1.0
59,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,59,7400000.0,1275.0,28.28709602355957,77.06906127929688,2.0,2.0,2.0,1.0,2.0,5803.921568627451,1.0
60,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,60,8400000.0,1890.0,28.410466,76.962531,3.0,3.0,4.0,1.0,2.0,4444.444444444444,1.0
61,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,61,6400000.0,1455.0,28.570142,77.3862730013034,3.0,2.0,3.0,1.0,2.0,4398.625429553264,1.0
62,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,62,19000000.0,1768.0,28.5934318343359,77.0442727572328,3.0,2.0,0.0,2.0,2.0,10746.606334841628,1.0
63,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,63,4300000.0,1295.0,28.566914,77.436434,2.0,2.0,4.0,2.0,0.0,3320.4633204633205,1.0
64,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,64,23800000.0,3500.0,28.4818021,77.2200217,4.0,5.0,3.0,1.0,2.0,6800.0,1.0
65,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,65,10500000.0,1850.0,28.548787,77.346032,3.0,4.0,2.0,2.0,3.0,5675.675675675676,1.0
66,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,66,10800000.0,1966.0,28.247592,77.069185,2.0,2.0,1.0,1.0,0.0,5493.387589013225,1.0
67,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67,5500000.0,1350.0,28.6493479,77.3696259,2.0,2.0,0.0,0.0,0.0,4074.074074074074,0.0
68,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,68,4320000.0,1040.0,28.509118,77.413416,2.0,2.0,3.0,1.0,2.0,4153.846153846154,1.0
69,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,69,3000000.0,800.0,28.6452824,77.3621025,2.0,2.0,1.0,1.0,0.0,3750.0,1.0
70,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,70,3500000.0,950.0,28.579593,77.445197,2.0,2.0,3.0,0.0,3.0,3684.2105263157896,1.0
71,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,71,16000000.0,2000.0,28.4178669,77.0512457,4.0,4.0,3.0,2.0,0.0,8000.0,1.0
72,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,72,3000000.0,900.0,28.685449,77.5092258,2.0,2.0,3.0,1.0,2.0,3333.333333333333,1.0
73,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,73,3300000.0,960.0,28.5128413669417,77.4895533166212,2.0,2.0,1.0,0.0,1.0,3437.5,1.0
74,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,74,8200000.0,1371.0,28.433653,77.152919,2.0,2.0,3.0,2.0,2.0,5981.035740335522,1.0
75,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,75,6000000.0,1750.0,28.475274,77.545978,3.0,3.0,1.0,2.0,2.0,3428.5714285714284,1.0
76,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,76,4100000.0,1299.0,28.519997,77.376873,3.0,2.0,4.0,1.0,2.0,3156.2740569668977,1.0
77,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,77,5200000.0,1365.0,28.60595893859864,77.44451141357422,3.0,2.0,3.0,2.0,2.0,3809.5238095238096,1.0
78,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,78,21000000.0,2800.0,28.4655907,77.5114027,4.0,5.0,4.0,0.0,0.0,7500.0,1.0
79,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,79,2650000.0,835.0,28.609898,77.436343,2.0,2.0,2.0,1.0,0.0,3173.6526946107783,1.0
80,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,80,10000000.0,1000.0,28.6677244,77.0979515,2.0,2.0,0.0,0.0,0.0,10000.0,0.0
81,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,81,4500000.0,1000.0,28.63472366333008,77.04911041259766,3.0,2.0,1.0,1.0,0.0,4500.0,1.0
82,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,82,6900000.0,1260.0,28.58548927307129,77.3993148803711,2.0,2.0,3.0,1.0,2.0,5476.190476190476,1.0
